track_id,track_name,track_description,current_role,next_role,typical_years,years_range,requirements,source
software_engineering_intern,Software Engineering - Entry,Entry-level path for software development,Software Engineering Intern,Junior Software Engineer,0.75,0.5-1,Basic programming skills | Git fundamentals | Problem-solving ability | Willingness to learn,Industry standard internship to junior transition
software_engineering_intern,Software Engineering - Entry,Entry-level path for software development,Backend Development Intern,Junior Backend Developer,0.75,0.5-1,Basic server-side programming | Database fundamentals | API concepts | Code versioning,Backend specialization internship path
software_engineering_intern,Software Engineering - Entry,Entry-level path for software development,Frontend Development Intern,Junior Frontend Developer,0.75,0.5-1,HTML/CSS/JavaScript basics | Responsive design | Version control | UI/UX awareness,Frontend specialization internship path
software_engineering_intern,Software Engineering - Entry,Entry-level path for software development,Full Stack Intern,Junior Full Stack Developer,1,0.5-1.5,Frontend and backend basics | Database knowledge | RESTful API understanding | Agile exposure,Full stack internship progression
data_analytics_intern,Data Analytics - Entry,Entry-level path for data analysis,Data Analytics Intern,Junior Data Analyst,0.75,0.5-1,Excel proficiency | Basic SQL | Data visualization tools | Analytical thinking,Standard data analytics internship path
data_analytics_intern,Data Analytics - Entry,Entry-level path for data analysis,Business Intelligence Intern,Junior BI Analyst,0.75,0.5-1,BI tools basics (Tableau/Power BI) | SQL fundamentals | Dashboard creation | Business acumen,BI specialization internship
data_analytics_intern,Data Analytics - Entry,Entry-level path for data analysis,Data Science Intern,Junior Data Scientist,1,0.5-1.5,Python/R basics | Statistics fundamentals | Machine learning concepts | Data manipulation,Data science internship with academic background
business_analysis_intern,Business Analysis - Entry,Entry-level path for business analysis,Business Analyst Intern,Junior Business Analyst,0.75,0.5-1,Requirements gathering | Process documentation | Stakeholder communication | Analytical skills,Standard BA internship progression
business_analysis_intern,Business Analysis - Entry,Entry-level path for business analysis,Product Management Intern,Associate Product Manager,1,1-1.5,User research basics | Product lifecycle understanding | Cross-functional collaboration | Market analysis,PM internship to APM transition
technical_specializations_intern,Technical Specializations - Entry,Entry-level paths for specialized technical roles,QA Intern,Junior QA Engineer,0.75,0.5-1,Testing fundamentals | Bug reporting | Test case creation | Attention to detail,QA internship standard path
technical_specializations_intern,Technical Specializations - Entry,Entry-level paths for specialized technical roles,DevOps Intern,Junior DevOps Engineer,1,0.5-1.5,Linux basics | CI/CD concepts | Cloud platform exposure | Scripting fundamentals,DevOps internship progression
technical_specializations_intern,Technical Specializations - Entry,Entry-level paths for specialized technical roles,UI/UX Design Intern,Junior UI/UX Designer,0.75,0.5-1,Design tools (Figma/Adobe XD) | User research basics | Wireframing | Design principles,Design internship path
technical_specializations_intern,Technical Specializations - Entry,Entry-level paths for specialized technical roles,Mobile Development Intern,Junior Mobile Developer,1,0.5-1.5,Mobile development basics (iOS/Android) | Mobile UI patterns | API integration | App lifecycle,Mobile dev internship path
finance_accounting_intern,Finance & Accounting - Entry,Entry-level path for finance professionals,Finance Intern,Junior Financial Analyst,0.75,0.5-1,Excel proficiency | Financial modeling basics | Accounting fundamentals | Analytical skills,Finance internship standard
finance_accounting_intern,Finance & Accounting - Entry,Entry-level path for finance professionals,Accounting Intern,Junior Accountant,0.75,0.5-1,Accounting principles | Bookkeeping | Financial reporting basics | Attention to detail,Accounting internship path
marketing_intern,Marketing - Entry,Entry-level path for marketing professionals,Marketing Intern,Marketing Coordinator,0.75,0.5-1,Social media basics | Content creation | Market research | Communication skills,Marketing internship standard
marketing_intern,Marketing - Entry,Entry-level path for marketing professionals,Digital Marketing Intern,Digital Marketing Associate,0.75,0.5-1,SEO/SEM basics | Social media marketing | Analytics tools | Content strategy,Digital marketing internship
human_resources_intern,Human Resources - Entry,Entry-level path for HR professionals,HR Intern,HR Coordinator,0.75,0.5-1,Recruitment basics | HRIS familiarity | Employee relations | Organizational skills,HR internship standard path
human_resources_intern,Human Resources - Entry,Entry-level path for HR professionals,Talent Acquisition Intern,Junior Recruiter,0.75,0.5-1,Sourcing techniques | Interview coordination | ATS systems | Communication skills,Recruitment internship path
sales_intern,Sales - Entry,Entry-level path for sales professionals,Sales Intern,Sales Representative,0.75,0.5-1,Communication skills | Customer service | CRM basics | Persuasion ability,Sales internship standard
sales_intern,Sales - Entry,Entry-level path for sales professionals,Business Development Intern,Junior BDR,0.75,0.5-1,Lead generation | Market research | Prospecting | Relationship building,BDR internship path
operations_intern,Operations - Entry,Entry-level path for operations,Operations Intern,Operations Coordinator,0.75,0.5-1,Process documentation | Data analysis | Project coordination | Problem-solving,Operations internship standard
customer_success_intern,Customer Success - Entry,Entry-level path for customer-facing roles,Customer Support Intern,Customer Support Representative,0.5,0.5-1,Communication skills | Problem-solving | Product knowledge | Empathy,Support internship path
customer_success_intern,Customer Success - Entry,Entry-level path for customer-facing roles,Customer Success Intern,Customer Success Associate,0.75,0.5-1,Account management basics | Customer onboarding | Relationship building | Product expertise,CS internship progression
project_management_intern,Project Management - Entry,Entry-level path for project management,Project Management Intern,Project Coordinator,1,0.5-1.5,Project planning basics | Task coordination | Communication | Time management,PM internship standard
